Protein.IDs,Intensity.H.F01,Intensity.H.F02,Intensity.H.F03,Intensity.H.F04,Intensity.H.F05,Intensity.H.F06,Intensity.H.F07,Intensity.H.F08,Intensity.H.F09,Intensity.H.F10,Intensity.H.F11,Intensity.H.F12,Intensity.H.F13,Intensity.H.F14,Intensity.H.F15,Intensity.H.F16,Intensity.H.F17,Intensity.H.F18,Intensity.H.F19,Intensity.H.F20,Intensity.H.F21,Intensity.H.F22,Intensity.H.F23,Intensity.H.F24,Intensity.H.F25,Intensity.H.F26,Intensity.H.F27,Intensity.L.F01,Intensity.L.F02,Intensity.L.F03,Intensity.L.F04,Intensity.L.F05,Intensity.L.F06,Intensity.L.F07,Intensity.L.F08,Intensity.L.F09,Intensity.L.F10,Intensity.L.F11,Intensity.L.F12,Intensity.L.F13,Intensity.L.F14,Intensity.L.F15,Intensity.L.F16,Intensity.L.F17,Intensity.L.F18,Intensity.L.F19,Intensity.L.F20,Intensity.L.F21,Intensity.L.F22,Intensity.L.F23,Intensity.L.F24,Intensity.L.F25,Intensity.L.F26,Intensity.L.F27,Intensity.M.F01,Intensity.M.F02,Intensity.M.F03,Intensity.M.F04,Intensity.M.F05,Intensity.M.F06,Intensity.M.F07,Intensity.M.F08,Intensity.M.F09,Intensity.M.F10,Intensity.M.F11,Intensity.M.F12,Intensity.M.F13,Intensity.M.F14,Intensity.M.F15,Intensity.M.F16,Intensity.M.F17,Intensity.M.F18,Intensity.M.F19,Intensity.M.F20,Intensity.M.F21,Intensity.M.F22,Intensity.M.F23,Intensity.M.F24,Intensity.M.F25,Intensity.M.F26,Intensity.M.F27,Percentage.H.F01,Percentage.H.F02,Percentage.H.F03,Percentage.H.F04,Percentage.H.F05,Percentage.H.F06,Percentage.H.F07,Percentage.H.F08,Percentage.H.F09,Percentage.H.F10,Percentage.H.F11,Percentage.H.F12,Percentage.H.F13,Percentage.H.F14,Percentage.H.F15,Percentage.H.F16,Percentage.H.F17,Percentage.H.F18,Percentage.H.F19,Percentage.H.F20,Percentage.H.F21,Percentage.H.F22,Percentage.H.F23,Percentage.H.F24,Percentage.H.F25,Percentage.H.F26,Percentage.H.F27,Percentage.L.F01,Percentage.L.F02,Percentage.L.F03,Percentage.L.F04,Percentage.L.F05,Percentage.L.F06,Percentage.L.F07,Percentage.L.F08,Percentage.L.F09,Percentage.L.F10,Percentage.L.F11,Percentage.L.F12,Percentage.L.F13,Percentage.L.F14,Percentage.L.F15,Percentage.L.F16,Percentage.L.F17,Percentage.L.F18,Percentage.L.F19,Percentage.L.F20,Percentage.L.F21,Percentage.L.F22,Percentage.L.F23,Percentage.L.F24,Percentage.L.F25,Percentage.L.F26,Percentage.L.F27,Percentage.M.F01,Percentage.M.F02,Percentage.M.F03,Percentage.M.F04,Percentage.M.F05,Percentage.M.F06,Percentage.M.F07,Percentage.M.F08,Percentage.M.F09,Percentage.M.F10,Percentage.M.F11,Percentage.M.F12,Percentage.M.F13,Percentage.M.F14,Percentage.M.F15,Percentage.M.F16,Percentage.M.F17,Percentage.M.F18,Percentage.M.F19,Percentage.M.F20,Percentage.M.F21,Percentage.M.F22,Percentage.M.F23,Percentage.M.F24,Percentage.M.F25,Percentage.M.F26,Percentage.M.F27
Q0160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000413882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000353918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000373981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R0020C,0.04671733,0.017784801,0,0.001944429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020387041,0.008945114,0,0.001220092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016191097,0.008560632,0,0.000549079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703081243,0.267655712,0,0.029263045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667284499,0.292780892,0,0.039934609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639943872,0.338354083,0,0.021702044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0040C,0.044923929,0.040778445,0.012225057,0.009697928,0.004848304,0.000282156,0.000527547,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57E-05,2.98E-05,0,0,0,0,0,0.020359602,0.019827986,0.005441972,0.003573505,0.00249747,0,0.000137108,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75E-05,1.34E-05,0,0,0,0,0,0.020482528,0.033304765,0.006779735,0.005338943,0.003535744,0,0.000128277,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17E-05,4.12E-05,0,0,0,0,0,0.396228447,0.359665336,0.107824839,0.085535596,0.042761972,0.002488615,0.004652954,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057951,0.000262731,0,0,0,0,0,0.392522765,0.382273476,0.104918458,0.068895358,0.048149955,0,0.002643364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00033737,0.000259253,0,0,0,0,0,0.293981258,0.478016025,0.097308055,0.076628687,0.050747768,0,0.001841134,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00088517,0.000591902,0,0,0,0,0
YAL003W,0.014636963,0.053438234,0.05263955,0.053803108,0.081705276,0.140831953,0.169227877,0.190435129,1.37112305,2.13728212,2.227850669,3.125663717,2.994626242,1.400631231,0.32542613,0.112015642,0.108842651,0.056638096,0.025856644,0.010982782,0.006170827,0.003904962,0.002414765,0.001157848,0.001411561,0.001300308,0.001036106,0.023875063,0.05201454,0.044028199,0.048733054,0.064925365,0.109047908,0.136172956,0.147014918,1.016595292,1.68201745,1.669620016,3.036971485,3.117224661,1.502642201,0.37076255,0.130410501,0.145046392,0.082687326,0.035009013,0.01310333,0.006636018,0.003712727,0.002284924,0.001122783,0.001169658,0.00127162,0.000854037,0.272434525,0.181900281,0.099218374,0.085035648,0.101987596,0.155983288,0.166445549,0.167487228,1.115834826,1.914446303,1.906416324,3.754572271,3.896183325,1.962387982,0.474657752,0.140850337,0.156037858,0.074569415,0.036612652,0.014555614,0.008099072,0.005129311,0.003151243,0.001813257,0.002218532,0.002069642,0.001606652,0.000997676,0.003642427,0.003587987,0.003667297,0.005569149,0.009599307,0.011534814,0.012980331,0.093457709,0.145680208,0.15185349,0.213049712,0.204118011,0.095469029,0.022181511,0.007635146,0.007418871,0.003860534,0.001762426,0.000748602,0.000420612,0.000266168,0.000164594,7.89E-05,9.62E-05,8.86E-05,7.06E-05,0.001775764,0.003868703,0.003274701,0.003624635,0.004828976,0.008110694,0.010128183,0.01093458,0.07561166,0.125103995,0.124181906,0.22588188,0.231850898,0.11176254,0.027576335,0.009699587,0.010788166,0.006150064,0.002603877,0.000974591,0.000493569,0.000276143,0.000169947,8.35E-05,8.70E-05,9.46E-05,6.35E-05,0.016311779,0.010891121,0.005940614,0.005091435,0.006106418,0.009339363,0.009965782,0.010028152,0.066809636,0.114625801,0.114145013,0.224801738,0.233280576,0.117496267,0.028419719,0.008433291,0.009342631,0.004464779,0.002192151,0.000871505,0.000484925,0.000307113,0.000188678,0.000108567,0.000132833,0.000123918,9.62E-05
YAL005C,1.095302694,1.130685396,0.843835921,0.677268376,0.664487015,0.905465998,1.117120988,1.251425551,2.36839783,4.248559022,9.345212245,21.55358899,28.29493677,31.22170811,8.275405495,3.049867557,1.324774957,0.606720811,0.21986933,0.086060105,0.038301805,0.01750552,0.012777732,0.008700985,0.007835355,0.006669198,0.004937549,1.605609811,1.46884811,1.060160546,0.898231913,0.952085368,1.270885211,1.611709413,1.802638777,3.342521218,6.607405592,16.60427121,45.33726647,63.71781791,65.00065463,16.4258417,6.859774485,3.055638314,1.434805136,0.521636875,0.184650482,0.077278419,0.033754526,0.023139066,0.015282039,0.012017416,0.010655012,0.006989194,4.613672433,4.138656943,2.731753397,2.170310925,2.266015922,3.130547712,3.749483013,4.067666175,7.45879727,12.30566879,22.73339652,40.24385447,47.00162075,61.16201136,16.66724579,6.27415456,2.542002724,1.288477985,0.514326966,0.195828098,0.084185386,0.038893306,0.025757925,0.017397544,0.014906037,0.012647847,0.008917276,0.009252632,0.009551529,0.007128352,0.005721263,0.005613292,0.007648976,0.009436943,0.010571489,0.020007175,0.035889944,0.078944212,0.182075169,0.239023088,0.263747155,0.069906959,0.02576393,0.011191112,0.005125309,0.001857359,0.000726998,0.000323557,0.000147879,0.000107941,7.35E-05,6.62E-05,5.63E-05,4.17E-05,0.00669167,0.006121691,0.004418411,0.003743544,0.003967988,0.005296645,0.006717091,0.007512824,0.013930563,0.027537561,0.069201311,0.18895128,0.265555561,0.270902016,0.068457674,0.028589354,0.012734927,0.005979811,0.002174016,0.000769564,0.000322072,0.000140678,9.64E-05,6.37E-05,5.01E-05,4.44E-05,2.91E-05,0.018796164,0.016860944,0.0111292,0.008841876,0.009231779,0.012753894,0.015275444,0.016571727,0.030387241,0.05013346,0.092616164,0.163954005,0.191485236,0.249174858,0.067902584,0.02556099,0.010356153,0.005249277,0.002095375,0.000797806,0.000342972,0.000158452,0.000104938,7.09E-05,6.07E-05,5.15E-05,3.63E-05
YAL007C,0.009185199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000362559,0,0,0,0,0,0,0,0,0,0.00923382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000670321,0,0,0,0,0,0,0,0,0,0.010470214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000610229,0,0,0,0,0,0,0,0,0,0.962026769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037973231,0,0,0,0,0,0,0,0,0,0.932319151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067680849,0,0,0,0,0,0,0,0,0,0.944927366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055072634,0,0,0,0,0,0,0,0,0
YAL012W,0.009098163,0.004666077,0.001644149,0,0,0.001445235,0.000283142,0.000415899,0.00047777,0.000338068,0.000431686,0.001011013,0.366572054,5.777464545,2.20500694,0.787903058,0.11486242,0.029528869,0.013179174,0.003286693,0.000602903,0.00046476,9.07E-05,0.000106279,8.36E-05,6.70E-05,0,0.030248552,0.006481073,0.000856111,0,0,0.001538585,0.000301029,0.000410123,0.000556059,0.000801573,0.000604956,0.001138171,0.328597124,5.705594447,2.17403894,0.787661814,0.122411738,0.035485583,0.014581224,0.003917498,0.000621883,0.000486598,0.000136774,0.000117186,0.000107345,5.73E-05,0,0.094883429,0.038152711,0.014856795,0.007303904,0,0.009871402,0.004564737,0.005377319,0.004357341,0.00546098,0.007825056,0.003884759,0.508602739,7.929667587,3.085522277,1.224373851,0.221388138,0.05546698,0.02492815,0.005555252,0.000929049,0.000781879,0.000159438,0.000205705,0.00015964,0.000105278,0,0.000976299,0.000500704,0.000176429,0,0,0.000155084,3.04E-05,4.46E-05,5.13E-05,3.63E-05,4.63E-05,0.000108489,0.039335859,0.61996414,0.236613348,0.084547752,0.012325577,0.003168663,0.001414222,0.000352686,6.47E-05,4.99E-05,9.73E-06,1.14E-05,8.97E-06,7.19E-06,0,0.00328191,0.000703184,9.29E-05,0,0,0.000166934,3.27E-05,4.45E-05,6.03E-05,8.70E-05,6.56E-05,0.000123489,0.035652162,0.619046129,0.235879084,0.085459807,0.01328144,0.003850118,0.001582035,0.000425041,6.75E-05,5.28E-05,1.48E-05,1.27E-05,1.16E-05,6.22E-06,0,0.007158645,0.002878497,0.001120897,0.000551056,0,0.000744765,0.000344395,0.000405701,0.000328747,0.000412013,0.000590375,0.000293092,0.038372415,0.598267513,0.232792575,0.092375007,0.016703012,0.004184802,0.001880747,0.000419126,7.01E-05,5.90E-05,1.20E-05,1.55E-05,1.20E-05,7.94E-06,0
YAL013W,0.025323833,0.012573117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018280837,0.014435854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015139642,0.012169311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668228788,0.331771212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558761806,0.441238194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554383826,0.445616174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL014C,0.008492094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009149967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006237502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL016W,0.013717213,0.016639026,0.019400067,0.011430575,0.013228765,0.008676373,0.005252692,0.004049586,0.003650134,0.007842942,0.037976168,0.134251721,0.206735407,0.686275875,0.270713965,0.057821373,0.010077728,0.002532758,0.001129721,0.000622326,0,0,0,0,0,0,0,0.015282323,0.015525647,0.02037677,0.009233299,0.012736318,0.008387445,0.005435853,0.003615291,0.003299644,0.006639652,0.031493592,0.341238938,0.2164432,1.205411986,0.401181905,0.070425169,0.011308814,0.002297411,0.001105022,0.000456443,0,0,0,0,0,0,0,0.012764538,0.023221548,0.022953237,0.017301748,0.01303782,0.008920423,0.006058923,0.004670802,0.003824132,0.008942096,0.031322414,0.121498525,0.203165875,0.719090983,0.291940456,0.065081613,0.011276893,0.003103709,0.00096459,0.000406291,0,0,0,0,0,0,0,0.009072085,0.011004469,0.012830525,0.007559782,0.008749042,0.005738249,0.003473947,0.002678254,0.002414071,0.005187047,0.025116108,0.088789387,0.136727559,0.453878832,0.179040736,0.038241031,0.006665056,0.001675078,0.000747158,0.000411584,0,0,0,0,0,0,0,0.006416036,0.006518192,0.008554858,0.003876452,0.005347137,0.003521333,0.002282155,0.001517822,0.001385302,0.002787551,0.013222076,0.143263653,0.090870179,0.506072739,0.168429738,0.029566869,0.004747823,0.000964531,0.000463926,0.00019163,0,0,0,0,0,0,0,0.008132627,0.014795068,0.014624119,0.011023405,0.008306743,0.005683439,0.003860301,0.002975892,0.002436457,0.005697248,0.019956345,0.07740995,0.129442396,0.458152039,0.186003049,0.041465231,0.00718481,0.001977456,0.000614566,0.000258859,0,0,0,0,0,0,0
YAL017W,0,0,0,0,0,0,0,0.000113914,0.000616004,0.006068809,0.065183969,0.054399213,0.002582101,0,0,0,0,0.000652467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000183361,0.000748506,0.002142368,0.019923223,0.015276696,0.00074646,0,0,0,0,0.000728951,0,0,0.0001119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000384162,0.001254639,0.00325227,0.021330687,0.015695182,0.001064521,0,0,0,0,0.000343969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878857,0.004752509,0.046821275,0.502898789,0.419693661,0.019921083,0,0,0,0,0.005033826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004599948,0.018777692,0.053745328,0.499811604,0.383244711,0.018726365,0,0,0,0,0.01828712,0,0,0.002807232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008866889,0.028958497,0.07506608,0.492336421,0.362262571,0.024570356,0,0,0,0,0.007939187,0,0,0,0,0,0,0,0,0
YAL019W,0,0,0,0,0,0,0,0.000229507,0.001405175,0.011081228,0.009891397,0.015965388,0.013633167,0,0,0,0,0.001690004,0.000933898,0.000526157,0.000555598,0.00016497,7.18E-05,0,0,0,0,0,0,0,0,0,0,0,0.003016513,0.002501285,0.009699253,0.008018424,0.012252311,0.009821496,0,0,0,0,0,0.000341691,0.000167027,0.000278431,6.85E-05,3.44E-05,0,0.001447197,0.002003726,0,0,0,0,0,0,0,0,0.000473376,0.001230761,0.012902055,0.009648895,0.013398623,0.011616548,0,0,0,0,0,0.000397827,0.000232945,0.000214401,8.28E-05,5.04E-05,0,0,0,0,0,0,0,0,0,0,0,0.004087514,0.025026154,0.197356519,0.176165652,0.284343359,0.24280652,0,0,0,0,0.030098944,0.016632703,0.009370849,0.009895198,0.002938114,0.001278474,0,0,0,0,0,0,0,0,0,0,0,0.060755257,0.050378098,0.195351568,0.161498183,0.246772428,0.197813651,0,0,0,0,0,0.006881951,0.003364071,0.005607852,0.001378885,0.000693412,0,0.029147827,0.040356817,0,0,0,0,0,0,0,0,0.009420669,0.024493425,0.256764272,0.192023009,0.266646496,0.231181342,0,0,0,0,0,0.00791717,0.004635857,0.004266808,0.001647998,0.001002955,0,0,0,0
YAL021C,0.008750239,0.009764093,0.001705976,0.000681329,0.00385286,0,0.004597073,0.001365748,0,0,0,0,0,0.012454698,0.013513752,0.133076248,0.174839331,0,0.016603027,0,0,0,0,0,0,0,0,0.004113518,0.003996003,0.000732288,0.000588984,0.000471517,0,0.001948812,0.000559938,0,0,0,0,0,0,0,0.134264375,0.146405695,0,0.020147651,0,0,0,0,0,0,0,0,0.003851422,0.003828627,0.00094342,0.000284554,0.000621382,0,0.00150987,0.000689763,0,0,0,0,0,0,0,0.138848011,0.159700794,0,0.017133789,0,0,0,0,0,0,0,0,0.022954193,0.025613801,0.004475227,0.001787308,0.010107072,0,0.012059339,0.003582718,0,0,0,0,0,0.032671971,0.03545015,0.349094231,0.458649856,0,0.043554135,0,0,0,0,0,0,0,0,0.01313263,0.012757459,0.002337869,0.001880363,0.001505344,0,0.006221688,0.001787633,0,0,0,0,0,0,0,0.428646354,0.467408183,0,0.064322477,0,0,0,0,0,0,0,0,0.011763241,0.01169362,0.00288145,0.000869101,0.001897862,0,0.004611534,0.002106715,0,0,0,0,0,0,0,0.42407782,0.487767623,0,0.052331035,0,0,0,0,0,0,0,0
YAL023C,0.007368969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001986528,0.000709379,0.000802099,7.78E-05,0,0,0,0,0,0,0.009263564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002169812,0.001303071,0.000623444,4.75E-05,0,0,0,0,0,0,0.006243428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001906623,0.001183751,0.000449108,4.39E-05,0,0,0,0,0,0,0.673288494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18150528,0.064814588,0.073286215,0.007105423,0,0,0,0,0,0,0.690929512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161836963,0.097190448,0.046500023,0.003543054,0,0,0,0,0,0,0.635343967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194021812,0.12046092,0.045702106,0.004471194,0,0,0,0,0,0
YAL024C,0.001257576,0,0,0,0,0,0,0,0.000795245,0,0,0.047718781,0.900750881,0.769511478,0.153407425,0.056653752,0.012518887,0.00342046,0.001918193,0.000358116,7.39E-05,0,0,0,0,0,0,0.001223771,0,0,0,0,0,0,0,0,0,0,0.032654867,0.565787535,0.464230697,0.094793779,0.042417941,0.016422294,0.002938404,0.001510563,0.000601489,8.75E-05,0,0,0,0,0,0,0.004429064,0,0,0,0,0,0,0,0,0,0,0.042159292,0.695113577,0.48634886,0.08539365,0.034250021,0.012466483,0.003681901,0.001617896,0.000558283,0.000113834,0,0,0,0,0,0,0.000645445,0,0,0,0,0,0,0,0.000408156,0,0,0.024491457,0.462306475,0.394948422,0.078735694,0.029077292,0.006425264,0.001755536,0.000984504,0.000183801,3.80E-05,0,0,0,0,0,0,0.001000902,0,0,0,0,0,0,0,0,0,0,0.02670786,0.462747993,0.379686385,0.077530218,0.034692912,0.013431514,0.002403271,0.001235464,0.000491948,7.15E-05,0,0,0,0,0,0,0.003242045,0,0,0,0,0,0,0,0,0,0,0.030860316,0.50881843,0.356004071,0.062507574,0.025070783,0.009125381,0.002695126,0.001184289,0.000408659,8.33E-05,0,0,0,0,0,0
YAL025C,0.033937426,0.041119449,0.019260333,0.005655758,0.004385817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023168239,0.013119577,0.005846818,0.002691164,0.002492618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019602291,0.02318688,0.007981352,0.005177004,0.003937466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325199519,0.394020012,0.18455881,0.054195328,0.042026332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489624151,0.277261532,0.123563274,0.056873509,0.052677535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327332271,0.387190151,0.133278002,0.086449107,0.065750469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL026C,0.03270707,0.002984357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029647093,0.002086805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030987205,0.0024427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916384486,0.083615514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93424051,0.06575949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.926930695,0.073069305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL027W,0,0.01888312,0.020377249,0,0,0,0,0,0.001014934,0,0,0.724385447,0.587138008,0,0,0,0,0.005034553,0,0,0,0,0,0.000645125,0,0,0.000399482,0,0.015878587,0.016856141,0,0,0,0,0,0.000800208,0,0,0.730993117,0.630895358,0,0,0,0,0.005311101,0,0,0,0,0,0.00056372,0,0,0.000370764,0,0.068132683,0.041403399,0,0,0,0,0,0.001077734,0,0,0.793018682,0.715324246,0,0,0,0,0.005589522,0,0,0,0,0,0.000812633,0,0,0.00059783,0,0.013906346,0.015006687,0,0,0,0,0,0.000747441,0,0,0.533468759,0.432393811,0,0,0,0,0.003707662,0,0,0,0,0,0.000475098,0,0,0.000294196,0,0.011328343,0.012025764,0,0,0,0,0,0.000570896,0,0,0.521516221,0.450102956,0,0,0,0,0.003789127,0,0,0,0,0,0.000402178,0,0,0.000264516,0,0.041903134,0.025464023,0,0,0,0,0,0.00066283,0,0,0.487724346,0.439940518,0,0,0,0,0.003437682,0,0,0,0,0,0.000499787,0,0,0.000367679
YAL028W,0.000579299,0.007622017,0.00714558,0.00302488,0.00278336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517079,0.005427938,0.005155326,0.001989277,0.001220188,0,0,0,0,0,0.002760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001462708,0.010362556,0.007994034,0.00407143,0.002460336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027383388,0.360291574,0.337770453,0.142985605,0.13156898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030291023,0.317974202,0.302004329,0.116533913,0.071479896,0,0,0,0,0,0.161716638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055508516,0.39325,0.303366633,0.154507224,0.093367626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL029C,0.025130664,0.019246005,0.009482536,0.002765576,0,0,0,0.002093776,0.008653949,0.00356572,0,0,0,0,0,0,0,0,0,0.000523087,0,0.00016249,0,0,0,0,0,0.023251653,0.01958161,0.007225735,0.002258923,0,0,0,0.000347788,0.002498274,0.000866448,0,0,0,0,0,0,0,0,0,0.000427829,0,0.000153517,0,0,0,0,0,0.039922381,0.02500898,0.010418803,0.003753858,0,0,0,0.000549266,0.003914246,0.001123934,0,0,0,0,0,0,0,0,0,0.000424578,0,0.000124721,0,0,0,0,0,0.350870278,0.268709624,0.132393647,0.038612521,0,0,0,0.02923296,0.120825042,0.049784006,0,0,0,0,0,0,0,0,0,0.007303263,0,0.00226866,0,0,0,0,0,0.410721125,0.345892864,0.127636607,0.039902003,0,0,0,0.006143389,0.044129933,0.015305077,0,0,0,0,0,0,0,0,0,0.007557249,0,0.002711752,0,0,0,0,0,0.468348453,0.293392244,0.122227933,0.044038291,0,0,0,0.006443702,0.045919888,0.013185404,0,0,0,0,0,0,0,0,0,0.004980924,0,0.001463161,0,0,0,0,0
YAL030W,0.013365997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010556591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008052854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL031C,0.001108089,0.006533076,0.023563377,0.047232217,0.079681897,0.038698455,0.014240365,0.003768834,0.002182252,0.002044704,0,0,0,0,0,0,0,0,0,5.07E-05,0,1.78E-05,0,0,0,0,0,0.001068358,0.004453518,0.021988976,0.039067161,0.064617322,0.027061912,0.011242111,0.002311572,0.001669184,0.001535001,0,0,0,0,0,0,0,0,0,0.000184611,0,3.56E-05,0,0,0,0,0,0.004276614,0.013210227,0.036531848,0.054973508,0.085690848,0.030449615,0.013505573,0.003250165,0.002091515,0.002033146,0,0,0,0,0,0,0,0,0,0.00011887,0,3.11E-05,0,0,0,0,0,0.005056956,0.029814823,0.107535543,0.215552386,0.363642107,0.176607086,0.064988368,0.017199723,0.009959086,0.009331358,0,0,0,0,0,0,0,0,0,0.000231194,0,8.14E-05,0,0,0,0,0,0.006096702,0.025414492,0.125482525,0.222941076,0.3687459,0.154431796,0.06415435,0.013191243,0.009525385,0.008759655,0,0,0,0,0,0,0,0,0,0.001053506,0,0.000203371,0,0,0,0,0,0.017373099,0.053664555,0.148405123,0.223321587,0.348106147,0.12369697,0.054864352,0.013203303,0.008496466,0.008259348,0,0,0,0,0,0,0,0,0,0.000482891,0,0.000126157,0,0,0,0,0
